"","docname","Segment","WC","WPS","Sixltr","Dic","Funct","TotPron","PronPer","Yo","Nosotro","TuUtd","ElElla","Ellos","PronImp","Articulo","Verbos","VerbAux","Pasado","Present","Futuro","Adverb","Prepos","Conjunc","Negacio","Cuantif","Numeros","Maldec","verbYO","verbTU","verbNOS","verbosEL","verbELLOS","Subjuntiv","VosUtds","formal","informal","verbVos","Social","Familia","Amigos","Humanos","Afect","EmoPos","EmoNeg","Ansiedad","Enfado","Triste","MecCog","Insight","Causa","Discrep","Tentat","Certeza","Inhib","Incl","Excl","Percept","Ver","Oir","Sentir","Biolog","Cuerpo","Salud","Sexual","Ingerir","Relativ","Movim","Espacio","Tiempo","Trabajo","Logro","Placer","Hogar","Dinero","Relig","Muerte","Asentir","NoFluen","Relleno","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
"45","text45",45,560,32.9411764705882,"36.96","253.8","11.8961","14.1869","7.9389","0.0000","0.35486","0.0000","6.3882","1.30378","9.3458","23.6041","13.8889","0.9766","0.3150","2.2514","0.0000","0.8222","27.055","4.6768","0.2353","8.6957","3.2710","0.0000","0.9662","0.0000","0.0000","1.2453","0.3268","1.9643","0.0000","0.00000","0.0000","0.00000","11.4120","0.0000","0.14925","3.0211","11.2392","4.2194","3.0534","0.00000","0.38113","0.0000","37.386","2.7184","0.65014","0.14545","0.8040","2.8103","0.25284","2.7845","1.4970","10.5769","0.1391","0.0000","0.33761","0.34338","2.899","0.62305","0.02329","0.72993","12.394","2.5641","5.2632","5.495","3.6961","4.4872","0.39947","0.11403","2.0253","0.19048","0.37481","0.1033","0.00000","0","10.000","2.857","6.786","0.00000","0.00000","0.00000","0.00000","0.35714","0.00000","0.00000","0","9.643"
"46","text46",46,689,28.7083333333333,"33.67","258.8","15.4057","14.5329","8.5496","0.0000","0.70972","0.3861","6.5111","1.56454","8.7227","27.1574","17.5926","1.9531","1.5748","2.6266","0.2092","1.9527","42.808","4.2641","3.0588","9.1787","1.4019","0.8475","1.9324","0.0000","0.2472","1.6189","0.4902","2.3214","0.0000","0.00000","0.0000","0.00000","11.6054","0.3373","0.24876","1.2085","12.9683","2.9536","7.3791","0.08450","0.61934","1.8476","35.562","1.3592","0.48761","0.43636","1.4070","2.5761","0.33713","2.7845","4.4910","12.5000","0.2782","1.3605","0.40513","0.61045","7.246","2.18069","0.02329","0.72993","23.099","4.4872","7.6923","18.681","6.3655","6.1966","0.53262","0.22805","0.2532","0.19048","0.44978","0.0000","0.00000","0","7.402","3.483","3.193","0.00000","0.00000","0.00000","0.00000","0.72569","0.00000","0.00000","0","6.676"
"47","text47",47,909,47.8421052631579,"33.33","242.4","19.5077","17.3010","10.0763","0.0000","0.35486","0.0000","7.9853","2.34681","10.5919","38.8325","19.7531","0.7812","2.0472","2.4390","0.3138","1.9527","50.342","5.6396","0.7059","4.8309","5.6075","2.5424","0.8571","0.0000","0.0618","0.8717","1.1438","2.5000","0.0000","0.00000","0.0000","0.00000","11.2186","0.1686","0.04975","1.8127","15.8501","4.5007","6.6158","0.08450","0.90519","0.4619","46.809","4.2718","0.52824","0.43636","0.6030","3.9813","0.33713","5.0242","3.5928","20.1923","0.8345","2.0408","0.33761","0.53415","10.145","0.00000","0.02329","1.02190","31.268","4.8077","12.9555","25.275","10.8830","7.4786","0.79893","0.45610","0.5063","0.66667","0.74963","0.3099","0.10730","0","8.251","2.200","5.721","0.00000","0.00000","0.00000","0.00000","0.33003","0.00000","0.00000","0","7.921"
"48","text48",48,1081,49.1363636363636,"33.77","246.1","24.9772","22.4913","11.1450","0.0000","0.28389","0.0000","8.8452","3.25945","17.7570","41.3706","28.3951","2.5391","2.0472","3.9400","0.1046","3.3916","65.753","7.1527","2.1176","16.4251","7.4766","0.8475","0.8571","0.0000","0.0000","2.4907","1.1438","2.8571","0.0000","0.00000","0.0000","0.00000","16.6344","0.8432","0.19900","2.1148","18.1556","4.3601","8.9059","0.21124","1.19104","0.9238","61.398","5.4369","0.36570","1.24740","2.1106","3.5129","0.50569","4.2373","5.9880","20.1923","0.4172","4.0816","0.06752","0.45784","4.348","0.31153","0.02329","1.16788","27.887","5.7692","11.5385","16.484","7.8029","5.3419","0.93209","0.57013","3.0380","0.47619","0.59970","0.9298","0.00000","0","7.493","2.035","5.180","0.00000","0.00000","0.00000","0.00000","0.27752","0.00000","0.00000","0","7.216"
"49","text49",49,651,25.0384615384615,"35.79","250.8","14.3118","15.0519","9.7710","0.0000","0.14194","0.0000","7.4939","2.34681","7.1651","28.9340","15.7407","0.9766","0.7874","2.1889","0.2092","1.5416","32.877","5.5021","1.4118","7.2464","1.8692","0.0000","0.2857","0.0000","0.1236","0.8717","0.4902","2.1429","0.1451","0.00000","0.0000","0.00000","10.6383","0.3373","0.04975","2.4169","12.3919","4.5007","3.8168","0.16899","0.52406","0.0000","34.043","1.5534","0.36570","0.62370","0.3015","2.5761","0.21070","4.1768","2.6946","8.6538","0.0000","1.3605","0.27009","0.34338","4.348","0.62305","0.04659","0.43796","19.155","5.1282","7.6923","8.791","6.5708","5.1282","0.00000","0.22805","1.2821","0.28571","0.44978","0.1033","0.00000","0","12.135","3.533","7.220","0.00000","0.00000","0.00000","0.46083","0.46083","0.00000","0.00000","0","11.674"
"50","text50",50,297,37.125,"35.69","238.4","6.3810","6.4014","3.3588","0.0000","0.07097","0.0000","2.5799","0.52151","4.6729","11.9289","9.8765","0.1953","1.1024","1.3133","0.0000","0.3083","17.808","2.4762","0.4706","2.4155","0.4673","0.0000","0.5714","0.0000","0.0618","0.2491","0.6536","1.6071","0.0000","0.00000","0.0000","0.00000","5.4159","0.3373","0.04975","1.8127","5.1873","1.1252","3.3079","0.04225","0.38113","0.2309","13.070","0.5825","0.00000","0.00000","0.2010","1.4052","0.25284","1.0896","0.2994","4.8077","0.1391","1.3605","0.06752","0.07631","2.899","0.00000","0.02329","0.00000","8.732","1.2821","4.6559","3.846","1.6427","0.8547","0.26631","0.11403","0.1832","0.28571","0.14993","0.1033","0.00000","0","9.428","2.694","5.387","0.00000","0.00000","0.00000","0.00000","1.34680","0.00000","0.00000","0","8.081"
"51","text51",51,2380,26.1538461538462,"33.74","253.3","54.6035","57.9585","31.7557","0.0000","0.63875","1.9305","24.8157","7.30117","39.5639","97.9695","60.1852","3.9062","4.7244","8.3802","0.9414","7.6053","128.082","23.6190","4.9412","23.6715","8.4112","0.0000","1.7143","0.0000","0.2472","4.2341","3.1046","7.1429","0.4354","0.00000","0.0000","0.00000","36.1702","0.5059","0.24876","2.7190","39.4813","11.5331","13.7405","0.38023","15.70681","1.3857","138.906","8.3495","1.34092","1.35135","4.4221","11.2412","0.67425","11.6828","14.0719","35.5769","1.1127","3.4014","0.54018","1.33537","21.739","3.42679","0.18635","2.18978","67.887","16.0256","29.3522","33.516","23.6140","18.1624","2.13049","0.34208","7.1429","1.71429","0.59970","1.0331","0.00000","0","10.756","3.739","6.765","0.00000","0.00000","0.08403","0.00000","0.08403","0.00000","0.00000","0","10.672"
"52","text52",52,722,26.7407407407407,"31.30","233.1","15.6335","15.3979","7.0229","0.0000","0.07097","0.0000","5.5283","2.60756","13.3956","25.8883","20.6790","1.1719","2.9921","2.3765","0.0000","1.7472","45.205","5.1429","0.9412","5.3140","4.2056","0.0000","1.4286","0.0000","0.0618","1.8680","1.7974","1.4286","0.0000","0.00000","0.0000","0.00000","9.6712","0.1686","0.00000","1.5106","8.9337","2.3910","4.3257","0.08450","4.71204","0.4619","32.219","3.1068","0.28444","0.72765","0.5025","0.7026","0.12642","3.0266","1.4970","17.3077","0.9736","2.7211","0.06752","0.41969","2.899","0.62305","0.00000","1.02190","21.972","7.0513","9.3117","7.256","5.3388","2.9915","1.06525","0.68415","0.7326","0.09524","0.59970","0.0000","0.00000","0","11.773","3.740","6.925","0.41551","0.00000","0.00000","0.00000","0.69252","0.00000","0.00000","0","11.080"
"53","text53",53,517,20.68,"35.01","256.5","11.9872","13.3218","6.4122","0.0000","0.42583","0.0000","5.0369","2.60756","10.9034","20.0508","13.5802","0.7812","3.9261","1.5635","0.0000","1.4388","26.370","5.3333","0.9412","6.2802","1.8692","0.0000","1.1429","0.0000","0.1854","0.6227","0.6536","1.0714","0.0000","0.00000","0.0000","0.00000","9.6712","0.1686","0.00000","1.5106","7.7810","1.4065","4.5802","0.16899","5.23560","0.2309","31.307","1.7476","0.32507","0.72765","0.9045","3.5129","0.25284","2.1186","2.9940","14.4231","0.2782","2.7211","0.13504","0.41969","1.449","0.62305","0.04659","1.02190","14.085","3.5256","6.0729","4.732","1.2320","1.4957","0.26631","0.11403","1.4652","0.00000","0.37481","0.2066","0.00000","0","9.478","4.642","4.255","0.19342","0.00000","0.00000","0.00000","0.38685","0.00000","0.00000","0","9.091"
"54","text54",54,593,32.9444444444444,"32.88","259.9","13.4002","14.0138","7.9389","0.0000","0.28389","0.3861","6.2654","2.86832","9.0343","19.0355","15.1235","0.7812","3.6952","1.6260","0.0000","1.9527","37.329","6.2857","2.5882","5.7971","2.8037","0.0000","1.1429","0.0000","0.1236","0.8717","0.4902","1.4286","0.0000","0.00000","0.0000","0.00000","10.2515","0.0000","0.00000","0.1675","10.6628","3.5162","4.3257","0.08450","4.71204","0.9238","37.690","3.1068","0.24380","0.62370","1.1055","3.2787","0.16856","3.2688","2.9940","11.5385","0.1391","1.3605","0.20257","0.45784","5.797","0.93458","0.00000","0.72993","15.775","4.1667","5.6680","6.940","4.5175","4.0598","0.66578","0.22805","0.9158","0.28571","0.67466","0.4132","0.00000","0","9.444","3.035","6.071","0.00000","0.00000","0.00000","0.00000","0.33727","0.00000","0.00000","0","9.106"
