"","docname","Segment","WC","WPS","Sixltr","Dic","Funct","TotPron","PronPer","Yo","Nosotro","TuUtd","ElElla","Ellos","PronImp","Articulo","Verbos","VerbAux","Pasado","Present","Futuro","Adverb","Prepos","Conjunc","Negacio","Cuantif","Numeros","Maldec","verbYO","verbTU","verbNOS","verbosEL","verbELLOS","Subjuntiv","VosUtds","formal","informal","verbVos","Social","Familia","Amigos","Humanos","Afect","EmoPos","EmoNeg","Ansiedad","Enfado","Triste","MecCog","Insight","Causa","Discrep","Tentat","Certeza","Inhib","Incl","Excl","Percept","Ver","Oir","Sentir","Biolog","Cuerpo","Salud","Sexual","Ingerir","Relativ","Movim","Espacio","Tiempo","Trabajo","Logro","Placer","Hogar","Dinero","Relig","Muerte","Asentir","NoFluen","Relleno","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
"55","text55",55,311,38.875,"39.55","246.0","6.6545","5.5363","3.5115","0.0000","0.35486","0.0000","2.7027","0.52151","2.8037","12.9442","7.0988","0.3906","0.9238","1.0006","0.0000","0.6166","18.493","3.6190","0.2353","1.9324","1.8692","0.0000","0.2857","0.0000","0.1236","0.2491","0.0000","1.2500","0.0000","0.00000","0.0000","0.00000","7.5435","0.3373","0.09950","1.0050","5.1873","1.9691","0.7634","0.00000","0.52356","0.0000","16.109","0.5825","0.20317","0.51975","0.4020","0.9368","0.00000","1.9976","0.0000","2.8846","0.0000","0.6803","0.00000","0.03815","0.000","0.00000","0.00000","0.14599","11.549","3.2051","5.8704","2.208","4.1068","4.0598","0.13316","0.22805","0.1832","0.00000","0.00000","0.0000","0.00000","0","10.611","2.251","7.074","0.00000","0.32154","0.00000","0.00000","0.96463","0.00000","0.00000","0","9.646"
"56","text56",56,2010,24.2168674698795,"35.02","249.1","43.5734","48.6159","31.1450","2.3529","1.70334","0.0000","24.2015","3.35821","23.9875","94.1624","60.8025","6.2500","8.3141","8.3177","0.4184","4.6249","102.397","19.6190","5.8824","10.6280","6.5421","0.0000","3.1429","0.0000","0.6180","7.4720","1.3072","5.1786","0.4354","0.00000","0.0000","0.00000","35.5899","1.5177","0.24876","5.1926","37.4640","12.6582","10.6870","0.25349","16.23037","1.3857","97.872","5.8252","1.09711","2.18295","3.1156","5.8548","0.25284","8.1719","8.3832","30.7692","0.5563","8.1633","0.40513","1.06829","18.841","0.31153","0.18576","1.75182","49.577","7.0513","24.4939","15.142","9.8563","14.9573","1.33156","0.34208","5.4945","1.04762","1.19940","0.3099","0.00000","0","11.393","4.328","5.075","0.19900","0.34826","0.04975","0.04975","0.14925","0.79602","0.00000","0","10.149"
"57","text57",57,331,33.1,"35.05","232.6","7.1559","6.7474","3.0534","0.0000","0.14194","0.3861","2.3342","0.37313","5.9190","12.4365","7.7160","0.3906","1.1547","0.8130","0.5230","0.8222","18.493","2.6667","1.8824","3.8647","1.8692","0.0000","0.0000","0.0000","0.0618","0.6227","0.4902","0.1786","0.1451","0.09251","0.0000","0.00000","6.7698","0.0000","0.04975","1.0050","6.0519","0.9845","3.8168","0.12674","3.14136","0.6928","15.198","0.9709","0.24380","0.00000","0.3015","1.4052","0.04214","1.5738","0.8982","4.8077","0.1391","0.6803","0.20257","0.03815","0.000","0.00000","0.06192","0.00000","8.732","1.2821","3.4413","3.470","2.2587","2.9915","0.13316","0.00000","0.5495","0.00000","0.00000","0.1033","0.00000","0","9.668","3.021","6.344","0.00000","0.00000","0.00000","0.00000","0.30211","0.00000","0.00000","0","9.366"
"58","text58",58,597,27.1363636363636,"34.51","250.1","12.7621","13.1488","7.6336","0.0000","0.35486","0.7722","6.1425","1.95896","8.0997","21.0660","16.9753","1.1719","4.3880","1.9387","0.1046","1.6444","30.822","6.6667","0.4706","4.8309","3.2710","0.0000","0.8571","0.0000","0.2472","1.6189","0.4902","1.4286","0.0000","0.00000","0.0000","0.00000","14.7002","0.0000","0.14925","1.6750","12.9683","3.7975","3.8168","0.08450","4.18848","0.4619","31.003","2.3301","0.24380","0.20790","0.2010","2.5761","0.04214","2.7845","1.4970","11.5385","0.2782","0.7117","0.27009","0.34338","4.348","0.62305","0.00000","0.58394","15.775","4.1667","5.4656","6.940","5.7495","6.4103","0.39947","0.22805","0.1832","0.19048","0.00000","0.0000","0.00000","0","11.725","3.350","6.198","0.50251","0.16750","0.00000","0.33501","0.83752","0.00000","0.00000","0","10.888"
"59","text59",59,347,34.7,"31.41","250.7","7.6572","6.2284","2.7855","0.0000","0.21292","0.0000","2.4570","0.46642","4.9844","14.2132","11.1111","0.7812","1.3857","1.7511","0.0000","1.4388","21.918","2.2857","1.1765","3.8647","0.0000","0.0000","0.0000","0.0000","0.1236","0.3736","0.3268","1.4286","0.0000","0.00000","0.0000","0.00000","5.0290","0.1686","0.04975","0.6700","4.8991","1.8284","0.7634","0.04225","0.00000","0.0000","24.316","2.5243","0.32507","0.10395","0.5025","2.1077","0.08428","1.8160","0.8982","6.7308","0.0000","0.0000","0.00000","0.30523","5.797","0.00000","0.00000","0.58394","11.549","2.5641","4.4534","4.101","2.4641","2.3504","0.13316","0.22805","0.1832","0.00000","0.07496","0.2066","0.00000","0","7.781","2.882","2.882","0.28818","0.57637","0.00000","0.00000","1.15274","0.00000","0.00000","0","6.628"
"60","text60",60,327,15.5714285714286,"22.94","276.8","7.6117","8.9965","5.0139","0.0000","0.00000","0.7722","4.4226","1.49254","4.9844","12.4365","10.1852","0.5859","1.1547","1.5009","0.0000","0.5139","19.863","2.8571","0.7059","1.9324","2.8037","0.0000","0.0000","0.0000","0.0618","1.0511","0.4902","1.2500","0.0000","0.00000","0.0000","0.00000","7.7369","0.6745","0.00000","1.6750","7.2046","1.1252","4.8346","0.00000","1.57068","1.8476","17.629","0.7767","0.12190","0.31185","0.8040","0.9368","0.08428","1.7554","1.1976","9.6154","0.2782","1.0676","0.33761","0.38153","10.145","0.62305","0.06192","0.00000","8.451","1.2821","2.8340","4.416","0.6160","1.9231","0.13316","0.11403","0.3663","0.19048","0.29985","0.1033","0.00000","0","9.174","6.422","2.446","0.00000","0.00000","0.00000","0.00000","0.30581","0.00000","0.00000","0","8.869"
"61","text61",61,711,19.75,"31.79","269.5","16.6819","16.7820","7.3816","0.0000","0.49681","0.0000","6.2654","1.86567","13.7072","24.6193","21.6049","1.7578","2.7714","3.0644","0.2092","3.5971","36.301","9.9048","4.4706","10.1449","2.3364","0.8475","1.4286","0.0000","0.1854","2.4024","0.8170","2.3214","0.1451","0.00000","0.0000","0.00000","13.1528","0.0000","0.09950","1.1725","14.1210","4.0788","5.0891","0.08450","6.28272","0.2309","46.201","3.1068","0.48761","1.03950","1.8090","1.8735","0.14388","3.1477","5.3892","21.1538","0.2782","0.7117","0.27009","0.49599","2.899","0.31153","0.06192","1.45985","21.690","8.0128","9.7166","4.101","4.1068","5.9829","0.13316","0.11403","0.7326","0.19048","0.07496","0.2066","0.00000","0","9.845","4.782","4.501","0.00000","0.00000","0.14065","0.00000","0.28129","0.00000","0.00000","0","9.564"
"62","text62",62,393,65.5,"33.08","244.3","9.0246","7.9585","4.1783","0.0000","0.07097","0.0000","3.6855","1.02612","4.9844","17.7665","9.2593","0.0000","0.9238","1.5009","0.0000","0.8222","23.288","4.0000","0.2353","2.8986","0.9346","0.0000","0.0000","0.0000","0.0000","0.3003","0.1634","1.2500","0.0000","0.00000","0.0000","0.00000","5.9961","0.0000","0.00000","0.3350","4.6110","1.4065","2.0356","0.00000","1.57068","0.0000","23.404","2.3301","0.12190","0.51975","0.5025","1.4052","0.21583","2.3002","1.1976","3.8462","0.0000","0.0000","0.06752","0.19077","4.348","0.00000","0.06192","0.29197","12.958","3.5256","6.4777","3.155","4.1068","2.5641","0.39947","0.11403","1.0989","0.09524","0.07496","0.7905","0.00000","0","6.616","1.527","4.071","0.00000","0.00000","0.00000","0.00000","1.01781","0.00000","0.00000","0","5.598"
"63","text63",63,1964,70.1428571428571,"35.03","260.2","44.1203","44.4637","22.0056","0.0000","2.12917","1.5444","19.2875","2.23881","30.8411","77.6650","51.2346","6.8359","4.3880","7.6923","0.2092","5.2415","107.192","26.6667","3.5294","16.4251","11.1111","0.0000","1.7143","0.0000","0.6799","3.9039","3.2680","4.1071","0.0000","0.00000","0.0000","0.00000","31.5280","0.8432","0.09950","2.6801","33.7176","10.9705","13.7405","0.21124","18.84817","0.9238","138.602","10.4854","1.66599","3.01455","3.5176","7.2600","0.86331","11.2591","7.4850","35.5769","0.5563","2.1352","0.60770","1.37352","17.391","2.80374","0.24768","2.18978","57.746","7.0513","25.5061","18.612","13.7577","15.8120","2.39680","0.68415","3.8462","0.38095","0.52474","3.1621","0.00000","0","9.318","1.375","7.281","0.00000","0.15275","0.00000","0.00000","0.30550","0.00000","0.00000","0","8.809"
"64","text64",64,2367,25.4516129032258,"33.38","256.6","54.7858","52.2491","26.1838","0.0000","1.13556","1.1583","22.2359","5.97015","35.5140","92.6396","68.8272","4.8828","7.6212","9.9437","0.4184","6.8859","143.836","22.2857","6.3529","27.0531","12.8205","2.5424","0.8571","0.0000","0.4326","4.8048","2.6144","5.3571","0.2903","0.00000","0.0000","0.00000","39.6518","0.5059","0.34826","3.3501","41.4986","8.4388","22.9008","0.71821","28.27225","2.0785","131.915","24.5192","1.42219","1.97505","5.1256","9.6019","0.57554","10.7143","6.8862","47.1154","0.9736","3.2028","0.47265","1.33537","15.942","1.55763","0.61920","3.35766","68.732","18.2692","28.1377","19.874","21.1499","17.5214","1.86418","0.34208","8.0586","0.66667","0.82459","5.5336","0.00000","0","8.830","3.676","4.394","0.00000","0.00000","0.00000","0.25349","0.16899","0.00000","0.00000","0","8.661"
"65","text65",65,2099,36.1896551724138,"35.35","255.3","46.5816","42.3875","23.1198","0.0000","2.83889","0.0000","19.2875","4.19776","24.6106","79.6954","53.0864","4.8828","5.5427","8.0050","0.1046","4.1110","123.630","23.8095","3.0588","20.7729","10.2564","2.5424","1.1429","0.0000","1.1743","4.5045","1.7974","5.0000","0.5806","0.00000","0.0000","0.00000","41.7795","0.6745","0.24876","2.5126","39.4813","10.4079","18.0662","0.38023","26.70157","1.3857","125.532","27.4038","1.78789","1.03950","3.0151","10.0703","0.57554","12.1065","9.8802","36.5385","0.5563","2.1352","0.67522","1.33537","15.942","2.49221","0.55728","2.04380","63.099","10.8974","27.3279","20.505","16.6324","15.3846","1.23131","1.14025","2.3810","0.38095","0.97451","3.9526","0.00000","0","9.719","2.668","6.384","0.00000","0.00000","0.00000","0.09528","0.42878","0.00000","0.00000","0","9.290"
"66","text66",66,191,31.8333333333333,"36.65","205.8","3.8286","2.4221","1.1142","0.0000","0.07097","0.0000","0.8600","0.37313","1.8692","6.3452","5.2469","0.1953","0.9238","0.6879","0.0000","4.7619","12.329","1.5238","0.2353","0.4831","0.4274","0.0000","0.2857","0.0000","0.0618","0.1502","0.0000","0.5357","0.0000","0.00000","0.0000","0.00000","2.7079","0.1686","0.00000","0.0000","2.3055","0.5626","0.5089","0.00000","1.04712","0.0000","9.422","3.3654","0.08127","0.10395","0.2010","0.0000","0.14388","1.1501","0.0000","1.9231","0.0000","0.3559","0.00000","0.00000","0.000","0.31153","0.00000","0.00000","5.634","1.6026","1.6194","2.839","1.2320","0.6410","0.08795","0.11403","0.0000","0.09524","0.00000","0.0000","0.00000","0","9.424","3.665","4.188","0.00000","0.00000","0.00000","0.00000","0.52356","0.00000","0.00000","0","7.853"
"67","text67",67,433,43.3,"35.33","243.6","9.3437","8.6505","3.6212","0.0000","0.35486","0.0000","3.1941","0.55970","7.4766","14.2132","7.7160","0.5859","0.9238","1.2508","0.1046","3.8095","25.342","4.7619","0.7059","6.7633","0.8547","0.8475","0.8571","0.0000","0.0618","0.9009","0.4902","1.4286","0.0000","0.00000","0.0000","0.00000","6.7698","0.0000","0.00000","0.5025","8.3573","3.0942","0.6619","0.00000","4.71204","0.4619","27.052","2.8846","0.32507","0.51975","0.6030","3.0445","0.43165","2.5424","0.5988","4.8077","0.0000","0.3559","0.06752","0.11446","4.348","0.31153","0.06192","0.00000","13.803","4.1667","4.6559","5.047","4.7228","3.8462","0.52770","0.11403","0.1832","0.19048","0.07496","0.7905","0.00000","0","10.855","2.309","7.390","0.23095","0.00000","0.00000","0.00000","0.92379","0.00000","0.00000","0","9.931"
"68","text68",68,240,34.2857142857143,"32.92","251.7","5.6518","5.5363","3.0641","0.0000","0.21292","0.0000","2.7027","0.55970","3.1153","11.9289","7.0988","0.5859","0.2309","1.1882","0.0000","1.9048","15.753","1.3333","0.2353","1.9324","0.4274","0.8475","0.5714","0.0000","0.0000","0.7508","0.1634","0.7143","0.0000","0.00000","0.0000","0.00000","4.4487","0.0000","0.00000","0.5025","4.3228","1.4065","0.3055","0.00000","2.09424","0.2309","14.286","3.8462","0.12190","0.00000","0.3015","1.4052","0.21583","1.2107","0.0000","0.9615","0.1391","0.0000","0.00000","0.00000","0.000","0.00000","0.00000","0.00000","6.197","1.0390","2.2267","1.893","2.4641","1.0684","0.00000","0.22805","0.0000","0.00000","0.07496","0.3953","0.00000","0","7.083","2.917","3.750","0.00000","0.00000","0.00000","0.00000","0.41667","0.00000","0.00000","0","6.667"
"69","text69",69,329,23.5,"38.60","212.5","6.2899","5.0173","2.6462","0.0000","0.28389","0.3861","2.3342","0.00000","3.1153","12.9442","8.9219","0.3906","0.6928","1.1257","0.1046","2.8571","14.041","4.9524","0.2353","1.9324","0.4274","0.0000","0.0000","0.0000","0.1236","0.6006","0.1634","1.4286","0.0000","0.00000","0.0000","0.00000","4.8356","0.0000","0.04975","1.1725","3.4582","1.4065","0.2546","0.00000","1.04712","0.2309","17.021","5.2885","0.12190","0.10395","0.4020","0.7026","0.00000","1.9370","0.8982","3.8462","0.1391","0.3559","0.06752","0.07631","0.000","0.31153","0.00000","0.14599","10.141","1.0390","5.4656","1.577","2.2587","1.9231","0.08795","0.22805","0.3663","0.19048","0.22489","0.0000","0.00000","0","18.541","3.647","7.295","0.30395","0.30395","0.00000","3.64742","1.21581","1.21581","0.00000","0","15.502"
"70","text70",70,515,42.9166666666667,"33.59","249.3","11.0301","10.5536","5.5710","0.0000","0.63875","0.0000","4.7912","1.49254","6.5421","17.2589","17.4721","0.7812","1.3857","1.8762","0.4184","12.3810","26.370","6.8571","0.4706","3.3816","2.5641","1.6949","0.0000","0.0000","0.0618","1.0511","0.1634","1.2500","0.0000","0.00000","0.0000","0.00000","12.1857","0.3215","0.04975","1.0050","9.7983","1.9691","0.9165","0.12674","5.23560","0.2309","31.003","6.2500","0.40634","0.10395","0.3015","1.6393","0.21583","2.9056","0.2994","13.4615","0.0000","0.3559","0.33761","0.53415","5.797","1.24611","0.00000","0.87591","14.930","3.1169","5.4656","5.994","2.6694","3.6325","0.00000","0.00000","0.3663","0.47619","0.22489","0.0000","0.00000","0","13.010","2.136","9.709","0.00000","0.00000","0.00000","0.19417","0.58252","0.38835","0.00000","0","12.039"
"71","text71",71,208,29.7142857142857,"30.77","241.3","4.4667","4.3253","2.5070","0.0000","0.14194","0.0000","2.2113","0.46642","2.1807","9.1371","5.9480","0.1953","0.2309","0.5003","0.1046","4.7619","10.616","2.2857","0.2353","1.9324","0.0000","0.0000","0.0000","0.0000","0.0618","0.0000","0.0000","0.7143","0.0000","0.00000","0.0000","0.00000","4.2553","0.3215","0.09950","0.5025","2.3055","0.7032","0.2546","0.04225","1.04712","0.0000","9.422","1.9231","0.08127","0.00000","0.0000","0.4684","0.00000","1.0291","0.0000","4.8077","0.0000","0.0000","0.27009","0.19077","0.500","0.93458","0.06192","0.00000","7.887","1.2987","3.0364","3.470","2.0534","1.9231","0.08795","0.11403","0.1832","0.00000","0.14993","0.0000","0.00000","0","9.135","2.404","4.327","0.00000","0.00000","0.00000","0.96154","0.48077","0.00000","0.00000","0","8.654"
"72","text72",72,2461,31.5512820512821,"27.96","273.0","57.0191","61.4187","33.9833","8.2353","0.49681","67.7419","27.8870","6.99627","34.5794","89.3401","100.0000","5.0781","17.3210","10.5066","0.7322","104.7619","116.781","32.9524","7.7647","27.0531","12.3932","3.3898","9.1429","0.7812","0.1854","12.9129","3.4314","6.4286","0.1451","0.27752","1.6835","0.00000","55.3191","0.9646","0.04975","8.7102","44.6686","11.3924","4.5825","0.46472","24.08377","4.1570","141.033","22.5962","1.42219","1.66320","4.8241","11.0070","1.00719","11.2591","12.2754","46.1538","1.1127","3.5587","0.87779","1.79321","3.750","4.67290","0.61920","2.48175","78.028","12.4675","28.5425","33.123","9.8563","13.0342","0.70361","1.14025","3.4799","1.33333","2.17391","1.5810","0.00000","0","14.344","2.926","7.477","0.89395","0.24380","0.08127","0.16254","0.24380","1.66599","0.00000","0","12.271"
"73","text73",73,1375,37.1621621621622,"35.20","250.0","31.8140","31.8339","17.8273","0.0000","1.41945","3.2258","15.4791","3.07836","17.4455","54.0609","41.6357","2.1484","3.2333","5.4409","0.1046","36.1905","82.192","16.7619","2.3529","13.0435","2.5641","0.8475","1.1429","0.3906","0.3090","3.3033","1.4706","3.9286","0.2200","0.00000","0.0000","0.00000","25.7253","0.6431","0.34826","2.1776","23.6311","6.4698","1.7312","0.08450","12.56545","0.6928","72.948","15.8654","1.09711","0.41580","1.3065","5.6206","0.21583","6.9007","6.8862","13.4615","0.5563","0.3559","0.27009","0.83937","1.500","2.80374","0.18576","0.72993","34.930","5.9740","14.5749","12.618","8.0082","9.4017","0.87951","0.34208","1.6484","0.38095","0.97451","0.7905","0.00000","0","11.345","2.836","7.127","0.14545","0.43636","0.00000","0.00000","0.14545","0.58182","0.00000","0","10.618"
"74","text74",74,962,29.1515151515152,"32.54","250.7","21.9234","20.5882","10.7242","0.0000","0.56778","0.0000","9.2138","1.67910","13.0841","41.3706","27.8810","1.1719","3.9261","3.0644","0.2092","30.4762","55.137","9.7143","2.5882","6.7633","6.8376","0.0000","2.2857","0.0000","0.0618","2.7027","0.6536","2.3214","0.0000","0.00000","0.0000","0.00000","15.4739","0.0000","0.09950","1.3400","20.7493","5.6259","1.3747","0.12674","8.90052","0.4619","57.143","13.4615","0.48761","1.03950","1.2060","4.9180","0.35971","5.1453","2.3952","1.7928","0.5563","0.3559","0.13504","0.38153","1.000","0.93458","0.18576","0.29197","27.324","3.3766","11.5385","10.095","7.1869","7.4786","0.52770","0.34208","1.0989","0.09524","0.37481","1.1858","0.00000","0","8.316","3.430","4.366","0.00000","0.00000","0.00000","0.00000","0.51975","0.00000","0.00000","0","7.796"
"75","text75",75,995,18.0909090909091,"30.65","259.2","46.0478","22.4913","10.7242","0.0000","0.14194","0.0000","9.2138","1.95896","16.5109","39.0863","35.3160","1.9531","2.5404","4.3777","0.0000","32.3810","55.137","11.2381","3.2941","8.2126","7.2650","0.8475","0.5714","0.0000","0.1236","3.0030","1.3072","1.9643","0.0000","0.00000","0.0000","0.00000","14.5068","0.6431","0.14925","1.6750","21.9020","5.9072","1.9857","0.25349","12.04188","0.6928","58.055","8.6538","0.40634","1.24740","2.6131","4.6838","0.21583","4.6610","6.2874","3.9841","0.4172","2.1352","0.20257","0.68676","1.750","1.55763","0.12384","0.72993","26.479","5.1948","11.5385","7.256","7.5975","7.0513","0.61566","0.57013","1.2821","0.66667","0.67466","3.5573","0.00000","0","9.648","5.427","4.121","0.00000","0.00000","0.00000","0.00000","0.10050","0.00000","0.00000","0","9.548"
"76","text76",76,340,30.9090909090909,"27.06","246.8","14.7978","6.9204","3.6212","0.0000","0.21292","0.0000","3.0713","0.93284","4.3614","11.9289","11.1524","0.1953","1.3857","1.3133","0.1046","7.6190","20.205","3.4286","0.4706","3.3816","0.8547","0.0000","0.0000","0.0000","0.0618","0.7508","0.6536","0.3571","0.0000","0.00000","0.0000","0.00000","5.6093","0.9646","0.04975","1.0050","3.7464","0.8439","0.4073","0.00000","2.61780","0.6928","16.717","2.8846","0.20317","0.20790","0.3015","0.9368","0.21583","1.6949","1.7964","1.3944","0.1391","1.0676","0.00000","0.34338","0.500","1.24611","0.00000","0.43796","10.986","3.3766","4.8583","2.839","3.9014","1.7094","0.61566","0.45610","0.7326","0.09524","0.22489","0.0000","0.00000","0","10.000","3.235","5.588","0.00000","0.00000","0.00000","0.00000","1.17647","0.00000","0.00000","0","8.824"
"77","text77",77,427,28.4666666666667,"30.44","251.5","20.3125","11.7647","7.5209","0.0000","0.07097","0.0000","6.6339","1.02612","4.3614","24.8731","10.7807","0.3906","0.9238","1.1882","0.3138","7.6190","23.630","2.8571","0.0000","4.3478","0.8547","1.6949","0.0000","0.0000","0.0618","1.3514","0.1634","0.5357","0.0000","0.00000","0.0000","0.00000","8.5106","0.3215","0.04975","0.6700","8.9337","2.1097","0.6619","0.08450","4.71204","0.0000","17.629","3.3654","0.16254","0.10395","0.5882","2.5761","0.00000","1.9976","1.1976","0.7968","0.1391","0.3559","0.06752","0.30523","1.000","0.31153","0.06192","0.29197","10.704","1.2987","4.4534","3.785","2.2587","1.4957","0.61566","0.34208","0.5495","0.19048","0.29985","0.0000","0.00000","0","11.475","3.513","7.728","0.00000","0.00000","0.00000","0.00000","0.23419","0.00000","0.00000","0","11.241"
"78","text78",78,2373,23.73,"34.13","260.7","107.2610","53.8062","26.1838","0.0000","2.20014","0.0000","22.2359","6.99627","38.3178","80.9645","87.7323","4.2969","7.6212","11.0069","1.1506","82.8571","141.781","21.7143","5.6471","27.0531","13.2479","3.3898","3.1429","0.0000","0.8035","6.9069","1.3072","7.6786","0.2200","0.00000","0.0000","0.04202","47.0019","1.2862","0.14925","3.1826","40.3458","11.1111","3.4623","0.33798","17.80105","3.4642","141.337","35.5769","1.50345","2.07900","10.8824","11.4754","1.43885","11.3196","10.7784","10.5578","0.9736","5.6940","0.60770","1.86952","4.500","1.86916","0.37152","3.94161","67.887","10.1299","30.9717","20.505","15.8111","15.1709","1.49516","1.36830","3.1136","3.37838","1.12444","5.5336","0.00000","0","12.516","3.835","7.206","0.08428","0.00000","0.00000","0.50569","0.25284","0.08428","0.00000","0","12.179"
"79","text79",79,1390,29.5744680851064,"33.45","225.0","59.3750","29.5848","16.0167","1.1765","0.14194","3.2258","13.3907","3.73134","17.4455","56.0914","40.5204","3.1250","7.3903","3.9400","0.1046","33.3333","73.630","13.1429","1.9573","6.2802","5.5556","0.0000","3.1429","0.0000","0.0000","3.4535","1.9608","3.5714","0.2200","0.00000","0.0000","0.00000","20.1161","1.6077","0.19900","2.0101","22.7666","6.4698","1.9857","0.21124","11.51832","1.3857","57.447","11.0577","0.52824","0.62370","2.9412","2.1077","0.21583","5.8717","4.4910","3.9841","0.2782","1.0676","0.40513","1.03014","2.750","1.24611","0.24768","1.16788","31.831","4.9351","14.1700","11.041","5.3388","4.9145","0.61566","0.45610","3.6630","4.39189","1.19940","1.1858","0.00000","0","11.871","3.237","6.691","0.43165","0.14388","0.00000","0.14388","0.07194","0.86331","0.07194","0","10.791"
"80","text80",80,1652,36.7111111111111,"29.96","271.7","77.8493","46.5398","21.7270","0.0000","0.78070","16.1290","19.0418","3.35821","35.2025","68.2741","59.8513","3.5156","1.6166","8.1301","0.8368","56.1905","81.507","16.5714","4.2705","21.2560","11.9658","0.0000","2.5714","0.0000","0.3708","7.2072","3.1046","4.6429","0.0000","0.00000","0.0000","0.00000","34.4294","0.6431","0.14925","2.3451","28.2421","9.4233","1.9857","0.12674","11.51832","0.8333","102.736","17.7885","1.17838","2.39085","7.9412","10.0703","0.71942","7.0218","4.4910","8.9641","1.2517","4.2705","0.33761","1.22091","3.500","1.55763","0.18576","2.18978","44.225","7.0130","21.2551","10.410","13.3470","11.1111","1.31926","1.59635","2.7473","1.68919","0.89955","3.5573","0.00000","0","9.927","2.603","6.295","0.12107","0.36320","0.00000","0.12107","0.30266","0.00000","0.00000","0","9.625"
"81","text81",81,746,43.8823529411765,"32.17","262.7","36.1213","19.5502","8.9136","0.0000","0.35486","3.2258","7.8624","1.67910","15.2648","28.4264","26.3941","1.7578","1.8476","3.7523","0.0000","31.4286","41.438","6.6667","2.3132","7.7295","2.1368","0.8475","0.8571","0.0000","0.3090","3.1532","0.6536","1.7857","0.0000","0.00000","0.0000","0.00000","12.7660","0.0000","0.00000","0.3350","10.0865","3.2349","0.7637","0.12674","1.04712","0.8333","48.328","9.1346","0.24380","1.87110","4.7059","3.0445","0.21583","3.2082","2.0958","2.5896","0.4172","1.0676","0.13504","0.26707","1.000","0.00000","0.00000","0.58394","21.972","3.8961","10.7287","5.363","18.5185","5.1282","0.52770","0.68415","0.3663","0.33784","0.00000","4.3478","0.00000","0","9.786","2.145","5.362","0.13405","0.13405","0.13405","0.00000","0.93834","0.80429","0.00000","0","8.311"
"82","text82",82,334,25.6923076923077,"31.74","269.5","15.7169","7.4394","3.0641","0.0000","0.28389","0.0000","2.5799","0.27985","6.5421","12.6904","14.4981","0.5859","0.4619","8.5791","0.0000","14.2857","17.808","2.8571","0.5338","5.3140","2.1368","0.0000","0.8571","0.0000","0.2472","1.6517","0.1634","1.0714","0.1100","0.09251","0.0000","0.00000","5.4159","0.0000","0.00000","0.8375","9.2219","3.6568","0.3055","0.00000","1.57068","0.4167","22.796","3.3654","0.28444","0.93555","1.7647","2.1077","0.14388","1.6949","1.1976","0.7968","0.0000","0.0000","0.13504","0.07631","0.000","0.00000","0.06192","0.29197","10.141","1.2987","4.2510","4.101","4.2328","1.9231","0.26385","0.11403","0.1832","0.33784","0.22489","0.3953","0.00000","0","7.784","3.593","3.593","0.29940","0.00000","0.00000","0.00000","0.29940","0.00000","0.00000","0","7.485"
"83","text83",83,104,14.8571428571429,"37.50","217.3","4.6875","2.4221","1.2535","0.0000","0.00000","0.0000","1.1057","0.09328","1.5576","5.0761","2.2305","0.1953","0.2309","1.3405","0.0000","0.9524","6.849","0.3810","0.1779","1.4493","0.0000","0.0000","0.0000","0.0000","0.0000","0.3003","0.0000","0.0000","0.0000","0.00000","0.0000","0.00000","1.3540","0.0000","0.00000","0.0000","1.8349","0.1406","0.2037","0.00000","1.04712","0.4167","3.343","0.9615","0.04063","0.00000","0.8824","0.2342","0.00000","0.3632","0.0000","0.3984","0.0000","0.0000","0.00000","0.03815","0.000","0.00000","0.00000","0.14599","1.972","0.0000","1.4170","0.000","2.1164","0.6410","0.08795","0.00000","0.5495","0.33784","0.00000","0.0000","0.00000","0","10.577","6.731","1.923","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0","8.654"
"84","text84",84,502,38.6153846153846,"31.08","255.0","22.3346","9.1696","4.8747","0.0000","0.21292","0.0000","4.2998","0.83955","5.6075","21.3198","17.4721","0.3906","1.6166","8.3110","0.1046","11.4286","30.822","4.5714","1.0676","4.8309","2.5641","0.0000","0.2857","0.0000","0.1854","1.5015","0.4902","1.2500","0.0000","0.00000","0.0000","0.00000","5.6093","0.3215","0.04975","0.5025","6.7278","1.6878","0.7128","0.04225","4.18848","0.4167","31.307","9.6154","0.40634","0.51975","3.8235","1.8735","0.50360","2.4213","2.0958","3.3865","0.4172","0.7117","0.20257","0.45784","0.500","0.93458","0.06192","0.79455","19.718","4.4156","8.2996","5.678","7.4074","2.5641","0.08795","0.34208","0.5495","0.33784","0.29985","0.3953","0.00000","0","8.367","2.789","4.781","0.00000","0.00000","0.00000","0.00000","0.79681","0.00000","0.00000","0","7.570"
